34-3	8	[8.461769002, 8.037776133, 8.166393978, 8.158208235, 8.116937945, 8.261187021000001, 8.334537772000001, 8.860707561, 8.792498431999999, 8.29214113, 8.393735377, 8.208342425, 8.463172048999999, 8.342141698, 8.149196666, 8.348534343, 8.142526009, 8.317888554, 8.079988293, 8.360950082, 8.299048659, 8.17603175, 8.082299104, 8.113168679, 8.198780831, 8.242967797, 8.136407964, 8.626032521, 8.224009883, 8.305919479, 8.135964905, 8.312621986, 8.875787113, 8.231506503, 8.385152561, 7.929053176, 8.220082736, 8.220052704999999, 8.252984409, 8.217587924, ]
35-31	4	[5.202153705000001, 5.195096552000001, 5.162695631, 5.250350822000001, 5.190795163, 5.141113293, 5.1367932540000005, 5.276521045000001, 5.165885326, 5.256469247, 5.363982555, 5.218483942, 5.367764338, 5.125628741, 5.268568986, 5.172101271, 5.25405442, 5.171535428, 5.17442999, 5.202073652999999, 5.194301609, 5.060030265, 5.175391594000001, 5.148312794, 5.196219559, 5.076606848000001, 5.226558935, 5.2009786149999995, 5.287604801, 5.167707332, 5.080490943, 5.288333317999999, 5.083156057, 5.159360756, 5.182565751, 5.101134498, 5.089755736, 5.196609764, 5.114271773, 5.252428378, ]
41-13	6	[5.182160432, 5.169624007, 5.04939548, 5.173574508000001, 5.1300010259999995, 5.0273313349999995, 5.010452829, 5.057629975, 5.0873159590000006, 5.1198927460000005, 4.990530624, 5.003573401000001, 5.12446792, 5.047669868, 4.931610458, 5.0439297849999996, 4.910256021, 4.998193245, 5.004288431999999, 5.03247094, 4.995006502, 5.022394448, 5.029471049, 5.008691746999999, 5.052639083, 4.9665210570000005, 5.106014171, 5.027459100000001, 5.169776685, 5.06590643, 4.972587807, 5.0368008280000005, 5.01851618, 5.225120169, 5.155150933000001, 5.059292934, 5.016323686, 5.033080410999999, 5.0369270319999995, 5.113337331, ]
42-19	6	[8.111591567, 8.141314916999999, 8.413144552, 8.195927060999999, 8.444097336, 8.347848341999999, 7.978167236, 8.203414009, 8.164934309, 8.148304001, 8.391408301, 8.094811834, 8.19521054, 8.086927993, 8.084248128999999, 8.127385314000001, 8.218623298999999, 8.204847894, 8.068829430000001, 8.113283594, 8.0616927, 8.030414666999999, 8.175289596, 8.139285461, 7.9519658920000005, 8.491093661, 8.01995173, 8.043811323000002, 8.308119719, 8.095877379, 8.391709248000002, 8.112863511, 7.990253622, 8.122401784, 8.09927761, 8.178841538, 7.981098059000001, 8.047859011, 8.097163361, 8.06238059, ]
36-3	8	[8.435087409, 8.371511251, 7.972933207, 8.600419038, 8.292873847000001, 8.332345802, 8.400700430999999, 8.372605005, 8.288360288, 7.984633455999999, 8.303401708, 8.265462824, 8.371021174000001, 8.076920869, 8.201930283, 8.790201975, 8.348017264, 8.258680925, 8.339840125, 8.485461978, 8.607530363999999, 8.067205273999999, 8.183044638, 8.570682086, 8.371475271, 8.307337385, 8.403156019999999, 8.311660306, 8.340516118, 8.249460767, 8.805258775, 8.088464573, 8.22551925, 8.231232229000002, 8.282266086, 8.468486535, 8.274939349, 8.240827621000001, 8.209597117, 8.198327897999999, ]
35-9	7	[8.2672873, 8.107623019, 8.443129955, 8.460309994, 8.348425145, 8.596261312000001, 8.457817979, 8.371514747, 8.080579355, 8.317508968, 8.446706449, 8.384830618999999, 8.312757108, 8.061890552000001, 8.344059055999999, 8.572988514999999, 8.29932291, 8.276801379, 8.223167753999999, 8.193339323, 8.462734849, 8.226183788, 8.376611217, 8.385264426, 8.417966013000001, 8.056155422, 8.457922829000001, 8.484348237999999, 8.305365122, 8.374382264, 8.335099771, 8.582887568, 8.085311836999999, 8.27113647, 8.235864307, 8.394852033000001, 8.467560471, 8.268929801999999, 8.315568503000001, 8.204969439, ]
56-5	7	[4.672535471, 4.704983398, 4.552247760999999, 4.75719412, 4.56124972, 4.656724887, 4.5453176619999995, 4.712478141, 4.556662352, 4.583845442, 4.562614699, 4.58330072, 4.569011765, 4.597572863, 4.571131656, 4.668966151999999, 4.6120824879999995, 4.5819992119999995, 4.547046948, 4.573575976, 4.561130805, 4.580557462, 4.5784191540000005, 4.545077906, 4.6795880830000005, 4.7364394999999995, 4.735695913000001, 4.582771403000001, 4.525192963, 4.485649706, 4.558948975, 4.5412074680000005, 4.545754688000001, 4.594935261, 4.6190674220000005, 4.708803029, 4.6396586630000005, 4.592172051, 4.7522159859999995, 4.536609242, ]
127-23	1	[4.570475908, 4.531325139, 4.575913292999999, 4.600634072, 4.744833699, 4.658959943, 4.571273165, 4.582575491, 4.719984728, 4.853365533, 4.587451053, 4.530298895, 4.557545156, 4.974498544999999, 4.529754243, 4.580580113, 4.607209612999999, 4.496348461, 4.555867841, 4.649139065, 4.542990642, 4.553077375, 4.568177979, 4.519819407, 4.633170391, 4.554253867, 4.92280448, 4.731457274, 4.807658955, 4.926983708, 4.582605783, 4.663972877, 4.617367604, 4.612856238, 4.5863877760000005, 4.536494409, 4.774396271, 4.554079765, 4.586422023, 4.695967371, ]
126-0	6	[7.791815767000001, 7.598410561000001, 7.74131852, 7.773204714, 7.809993068, 7.72915527, 7.9431203649999995, 7.731220721, 7.858713520999999, 7.673708294, 7.825586409, 7.809173099, 7.627714501, 7.66346139, 7.726720923, 7.744807807, 7.9472626900000005, 7.685051143999999, 7.966277596, 7.446687025999999, 7.823937668, 7.815191331, 7.7833620759999995, 7.782991263, 7.776008492, 7.768782184999999, 7.81581831, 7.796735152, 7.895253840999999, 7.791100238, 8.038947773, 7.853877006000001, 7.929420874000001, 7.831115467, 7.511466223, 7.666195169999999, 7.851099019, 7.736144023999999, 8.016796486, 7.940744598000001, ]
114-30	4	[4.695834134, 4.831880317, 4.680488174000001, 4.8829837000000005, 4.697169262, 4.669195288999999, 4.855558889999999, 4.703348358, 4.628427935, 4.689549926, 4.694046311, 4.663801379, 4.848727544, 4.680084832, 4.8203918969999995, 4.829883431, 4.6241751650000005, 4.700994922, 4.634072339, 4.718340343, 4.662449005, 4.8049874500000005, 4.681977038, 4.6928102869999995, 4.6806695110000005, 4.9833251700000005, 4.804478545, 4.679013252, 4.628449078, 4.644671585999999, 4.690188317, 4.694729816000001, 4.791766539999999, 4.706050497, 4.878875616, 4.670008621, 4.69094984, 4.792575387, 4.828401824999999, 4.7787299160000005, ]
