16-1-14-6-3	10	[1.5737270589999999, 1.546368641, 1.5312792210000001, 1.5466696400000002, 1.567173609, 1.5847950549999998, 1.539561975, 1.578642117, 1.5626779389999998, 1.5509324160000002, 1.6443035149999998, 1.542997426, 1.559468938, 1.55830334, 1.5825015099999997, 1.556855647, 1.5578461100000003, 1.56808586, 1.5550869779999998, 1.5616208020000002, 1.558961707, 1.5554821589999999, 1.546943448, 1.5595943609999998, 1.556281961, 1.5484696830000002, 1.549665524, 1.545838953, 1.572088589, 1.5853039669999998, 1.5763876999999997, 1.549461049, 1.577777662, 1.571194663, 1.5975191919999998, 1.5683346820000001, 1.550651728, 1.555171724, 1.597673711, 1.5503953739999998, ]
9-2-19-0-2	12	[1.9308543089999999, 2.0038030730000003, 1.955838913, 1.9115026509999997, 1.9680039959999998, 2.030350571, 1.9912041729999999, 1.9572406079999998, 2.0107012729999996, 1.9301176610000002, 1.939595424, 1.957190897, 2.0219273, 1.9580895450000004, 1.9979988570000002, 1.936266088, 1.9124506940000001, 1.9508211949999998, 1.8969843159999997, 1.9720753869999998, 1.9746213320000001, 1.954385104, 1.9363753509999997, 1.9744810560000001, 1.9583380060000002, 1.9593383649999998, 2.011185719, 1.9673616349999998, 2.018465051, 1.9654038080000003, 1.9228232109999999, 1.993623472, 1.922699175, 1.9785763969999999, 2.0413002440000003, 1.949501948, 1.947789206, 1.937992216, 1.9428429520000001, 1.9338272760000002, ]
30-1-48-6-5	8	[1.351698651, 1.3200318500000001, 1.3155582530000003, 1.2914504039999999, 1.2943166750000001, 1.315516604, 1.2804618790000002, 1.287484413, 1.2906904030000002, 1.2921773680000002, 1.3154950090000002, 1.298326899, 1.307083046, 1.2805352280000002, 1.316419172, 1.312022733, 1.321939322, 1.301047859, 1.2941202989999998, 1.283771254, 1.310378277, 1.304851806, 1.3162295030000002, 1.293410436, 1.3079658730000001, 1.399812883, 1.3028795930000001, 1.2920732460000002, 1.292823901, 1.2781573910000001, 1.3094846100000002, 1.3084464519999999, 1.302943538, 1.2817500880000001, 1.285304889, 1.2891444330000001, 1.3027315320000001, 1.320582602, 1.3189926580000002, 1.304237524, ]
1-1-5-3-4	12	[2.213603946, 2.282546339, 2.3725498629999997, 2.2547326020000003, 2.358755962, 2.2327348110000003, 2.2545850819999997, 2.2893011450000005, 2.354139462, 2.256081253, 2.2722674890000003, 2.276886837, 2.257941011, 2.2570134179999997, 2.250019379, 2.290679523, 2.319898584, 2.298277294, 2.32360258, 2.244314178, 2.306504678, 2.308805696, 2.248395981, 2.33441866, 2.2782222510000003, 2.315252917, 2.2729733149999998, 2.230181945, 2.238834487, 2.284488534, 2.293885151, 2.275230935, 2.2170250360000003, 2.242782833, 2.274688955, 2.279486992, 2.243727376, 2.323512259, 2.2268333040000003, 2.256118811, ]
31-1-52-4-2	8	[1.294684698, 1.306239078, 1.3194832710000002, 1.332819862, 1.289130694, 1.2944581990000001, 1.2966443650000001, 1.2864096970000003, 1.300695392, 1.294760472, 1.291015965, 1.282874326, 1.30972549, 1.281021279, 1.2898299899999999, 1.274595621, 1.3347648740000002, 1.286038021, 1.2919081500000003, 1.282251349, 1.30435298, 1.293264446, 1.3069992659999998, 1.294581918, 1.293036166, 1.306518401, 1.291261785, 1.302192562, 1.291323881, 1.332774103, 1.283571449, 1.3141804099999999, 1.303204631, 1.30745698, 1.3375320830000001, 1.2997725830000002, 1.3069998310000002, 1.317089128, 1.332771836, 1.3175685449999999, ]
11-1-58-1-0	10	[1.319496143, 1.294797228, 1.318777634, 1.33071231, 1.3340187970000001, 1.307539837, 1.343231219, 1.3452710840000002, 1.2907753960000001, 1.317756894, 1.3097839070000001, 1.3420790299999998, 1.321034402, 1.293589627, 1.297242722, 1.326416032, 1.3188621830000002, 1.3261643900000002, 1.322914603, 1.3160037020000002, 1.3002662120000001, 1.3391430029999998, 1.30318591, 1.3205107269999998, 1.293920844, 1.3044999130000001, 1.3622971710000003, 1.3073539260000002, 1.3092212970000001, 1.300556157, 1.30459579, 1.319108939, 1.311412234, 1.3075583910000002, 1.3231876260000002, 1.311679753, 1.3044833070000001, 1.334700098, 1.328129722, 1.322716918, ]
30-3-19-5-5	6	[1.426218816, 1.386938052, 1.406741845, 1.390082485, 1.549287577, 1.4229574560000002, 1.442860668, 1.422696056, 1.401426115, 1.4039226350000003, 1.378676221, 1.447877932, 1.400940154, 1.3850167290000002, 1.4361256500000001, 1.407528298, 1.3971614799999998, 1.4022852010000002, 1.450237645, 1.39085144, 1.3922595430000002, 1.404763973, 1.4167637610000001, 1.3877495780000002, 1.4286987759999998, 1.4239656109999999, 1.399803762, 1.407634499, 1.41921154, 1.432466237, 1.4420625239999998, 1.4045915999999998, 1.398780204, 1.4175205480000002, 1.385261152, 1.405577302, 1.399140812, 1.3923610390000003, 1.40631149, 1.381185382, ]
28-1-40-7-2	9	[1.335868766, 1.350838584, 1.330790395, 1.341201299, 1.345016283, 1.3321603270000002, 1.3704471900000001, 1.3268399400000002, 1.340201828, 1.347264239, 1.348089715, 1.333621157, 1.339537151, 1.376584276, 1.3232071260000002, 1.369059859, 1.32802979, 1.3364841209999998, 1.3289442310000001, 1.334755152, 1.34106228, 1.360984586, 1.398988461, 1.3696844979999998, 1.3361447080000002, 1.342667564, 1.35807556, 1.316757222, 1.337763846, 1.347556613, 1.327951729, 1.3335732980000001, 1.349745933, 1.361641406, 1.3401147889999998, 1.313163586, 1.376258112, 1.346281136, 1.324603802, 1.33609481, ]
25-2-0-1-6	12	[1.8055017480000002, 1.800762959, 1.8114506649999997, 1.81496265, 1.763317453, 1.771323552, 1.7810359290000002, 1.786172001, 1.7952210149999999, 1.8220657589999998, 1.766668653, 1.781348838, 1.770543243, 1.7635629449999999, 1.7741380820000001, 1.782379135, 1.753518808, 1.7905560580000002, 1.7999386949999998, 1.768423068, 1.773072532, 1.791842189, 1.8611236249999998, 1.7582552630000001, 1.7803048129999999, 1.76062926, 1.7508292970000001, 1.8322206429999999, 1.7745647130000002, 1.776454546, 1.820542954, 1.750206359, 1.7796090070000004, 1.79232617, 1.8211106769999998, 1.881856155, 1.7490255840000002, 1.78376914, 1.779273607, 1.7715267650000002, ]
25-1-1-4-3	11	[1.8124706389999998, 1.822104958, 1.8646051100000003, 1.8075998949999998, 1.8120619910000002, 1.8072316290000003, 1.8356295660000002, 1.789833649, 1.7976400789999998, 1.798274863, 1.834284909, 1.816700649, 1.822066175, 1.8128800219999999, 1.7805515509999998, 1.789365563, 1.8436411289999999, 1.8054844009999997, 1.817606382, 1.7744498440000003, 1.818337494, 1.844724714, 1.793995204, 1.8740165450000001, 1.7954623919999997, 1.800546188, 1.778654602, 1.8454366509999998, 1.7970416880000002, 1.8156844840000002, 1.7814667020000003, 1.814382816, 1.7948232839999998, 1.818945436, 1.818649716, 1.7840658189999998, 1.789578766, 1.8309708199999999, 1.8305760329999998, 1.7964043889999999, ]
16-1-62-0-4	11	[1.482024008, 1.48868233, 1.450860338, 1.45226291, 1.4574295510000002, 1.469898105, 1.446858292, 1.486027732, 1.508396181, 1.4588739080000002, 1.448048427, 1.4633412900000002, 1.459831095, 1.4851941100000001, 1.5011018489999999, 1.4905999960000003, 1.51495133, 1.480798486, 1.4628787900000002, 1.4854956659999998, 1.464220655, 1.4557706279999998, 1.478326397, 1.463300472, 1.4837159789999999, 1.4776867450000002, 1.470375488, 1.476762853, 1.5059534069999998, 1.461591268, 1.464409051, 1.4965766980000001, 1.4700067410000002, 1.4886575800000001, 1.44683078, 1.451305181, 1.4685482049999998, 1.4649277880000002, 1.449888208, 1.466553741, ]
