3-12-10-2	10	[2.630043459, 2.620985835, 2.567885637, 2.628960404, 2.551601409, 2.635477514, 2.606270999, 2.694095516, 2.629211673, 2.6229701540000003, 2.577336291, 2.61342525, 2.6017259709999996, 2.6010277370000003, 2.566185632, 2.6305989739999998, 2.670662797, 2.605837658, 2.552234401, 2.6085589060000003, 2.607932307, 2.605925766, 2.616777054, 2.601502868, 2.623797622, 2.679942127, 2.63564027, 2.6364779769999998, 2.6133392730000002, 2.645283087, 2.611963175, 2.648999655, 2.539774881, 2.637336448, 2.6085372700000002, 2.578242057, 2.545642843, 2.581537595, 2.6032329359999995, 2.661585679, ]
7-53-13-1	6	[2.7414086209999997, 2.739808655, 2.738220958, 2.700429217, 2.751073503, 2.747964519, 2.70853396, 2.7314960200000002, 2.6685558769999997, 2.7574548749999996, 2.7167675200000003, 2.652634795, 2.725225719, 2.7634208969999996, 2.674126175, 2.724550626, 2.674376036, 2.731361722, 2.713094822, 2.7371477840000003, 2.699804513, 2.673707756, 2.740888908, 2.811252801, 2.664348287, 2.663839501, 2.736082249, 2.800497427, 2.749693406, 2.683539527, 2.6579290440000003, 2.727456913, 2.755163016, 2.761940509, 2.761857533, 2.7177719959999997, 2.6622186150000005, 2.725591048, 2.7550853120000003, 2.705628065, ]
14-52-23-3	5	[2.624979926, 2.626789182, 2.6398623139999997, 2.635112317, 2.694366693, 2.5894267579999997, 2.657031778, 2.6168059550000002, 2.635193734, 2.5712922870000003, 2.648755079, 2.607368101, 2.6234166500000002, 2.723998267, 2.609034327, 2.624717165, 2.5958441839999997, 2.627372001, 2.648866562, 2.57529607, 2.678565429, 2.657174957, 2.6321300180000002, 2.656742837, 2.629409111, 2.667055812, 2.7104674849999997, 2.565999459, 2.598802247, 2.565784855, 2.5817435810000005, 2.584399764, 2.577585799, 2.653256518, 2.61209884, 2.658407319, 2.627698911, 2.648303713, 2.591470118, 2.632525923, ]
5-0-18-0	13	[2.7269278000000003, 2.709378995, 2.696380672, 2.7244651510000004, 2.72483249, 2.71122564, 2.6493462560000003, 2.6489643689999998, 2.726419141, 2.6385378669999997, 2.715018975, 2.694930081, 2.730085755, 2.742539313, 2.67103573, 2.653622828, 2.669776427, 2.637674555, 2.6973950540000002, 2.692745921, 2.6541743770000004, 2.6977422200000003, 2.700421887, 2.733415253, 2.629625753, 2.7056628209999998, 2.744715189, 2.714028289, 2.7717071229999997, 2.7403959540000002, 2.6929588630000003, 2.748886238, 2.665613768, 2.71977944, 2.7008924380000003, 2.810375981, 2.66839168, 2.714916263, 2.734380491, 2.6409863330000003, ]
4-26-14-1	9	[2.5126775599999998, 2.458162597, 2.460313555, 2.496378165, 2.483138079, 2.487536732, 2.4578623009999996, 2.4882447689999996, 2.440936548, 2.418905939, 2.499866657, 2.472826444, 2.5133286540000004, 2.4861508910000003, 2.46837979, 2.5066214440000003, 2.526208235, 2.443730968, 2.4163063940000002, 2.471016205, 2.470065335, 2.467498312, 2.497787803, 2.583746472, 2.434910844, 2.4364216560000003, 2.51981583, 2.480182863, 2.429990052, 2.441875455, 2.457284319, 2.424781725, 2.4744712509999998, 2.451955578, 2.46673894, 2.470459224, 2.4725206689999997, 2.512906235, 2.545768307, 2.466272731, ]
15-17-22-1	7	[2.560184284, 2.5669529740000003, 2.5546584699999997, 2.622449116, 2.63207311, 2.5986315079999995, 2.612330168, 2.620368639, 2.5806329949999998, 2.7914452499999998, 2.591000669, 2.6122671310000003, 2.6248274890000003, 2.614851402, 2.605809192, 2.813895547, 2.61712, 2.6319357849999996, 2.628371637, 2.619916178, 2.5428127710000004, 2.600099661, 2.585482927, 2.554730555, 2.561313341, 2.63921777, 2.6309409560000003, 2.609681966, 2.5896223750000003, 2.555558092, 2.608996866, 2.622930076, 2.561085035, 2.592763432, 2.622421039, 2.5827380410000003, 2.636712981, 2.600096277, 2.609663335, 2.563920995, ]
6-62-31-3	3	[2.4421106200000002, 2.4826791, 2.520721687, 2.459423855, 2.464085405, 2.522991438, 2.477599667, 2.512950913, 2.459358355, 2.445579652, 2.471879234, 2.446846398, 2.4628576229999997, 2.4127417749999998, 2.411680596, 2.476781836, 2.4399816579999998, 2.497108222, 2.485585034, 2.4706858879999998, 2.496270663, 2.48916264, 2.4996971759999997, 2.484215918, 2.4473032459999997, 2.485399519, 2.4884322450000003, 2.471953258, 2.4155148559999997, 2.467829285, 2.460845346, 2.4645486930000002, 2.4557471050000004, 2.4133268910000005, 2.503014779, 2.505996505, 2.481904736, 2.415429354, 2.4142381420000003, 2.463607915, ]
2-28-14-0	10	[2.630335703, 2.6175381239999997, 2.613419632, 2.652906337, 2.6021025680000003, 2.6237901949999998, 2.60777135, 2.6106129420000004, 2.647077227, 2.651529047, 2.609798162, 2.548005919, 2.6356135839999997, 2.6476503420000004, 2.577805079, 2.627048806, 2.595661131, 2.575599618, 2.651444465, 2.6691582470000004, 2.60854067, 2.607994437, 2.6038203060000003, 2.616141413, 2.649111377, 2.642702021, 2.617555231, 2.596001851, 2.621446489, 2.605501807, 2.618521917, 2.629700777, 2.6937889439999996, 2.640441392, 2.6279738010000004, 2.60958964, 2.555569649, 2.582920216, 2.6140559019999996, 2.5663524730000002, ]
2-14-8-2	11	[2.633406046, 2.60879233, 2.640259789, 2.614705619, 2.601938807, 2.6319685799999997, 2.646308707, 2.59266189, 2.5323704840000003, 2.671589351, 2.62608949, 2.6067458620000004, 2.558191649, 2.606620648, 2.629108751, 2.610751732, 2.62602936, 2.568294749, 2.615632035, 2.586917828, 2.600234784, 2.6385668520000003, 2.6300396509999997, 2.616409019, 2.5773553380000003, 2.672346653, 2.594431774, 2.579385491, 2.6546147849999997, 2.629166845, 2.608629198, 2.6584471979999997, 2.574265704, 2.643095649, 2.6475000040000003, 2.5532213599999998, 2.543862973, 2.618038997, 2.608867643, 2.5540493989999997, ]
15-18-16-0	10	[2.650581441, 2.707065324, 2.736734909, 2.758305401, 2.6653261870000002, 2.714874715, 2.646211926, 2.698798187, 2.629009976, 2.6917698349999997, 2.714447366, 2.82690719, 2.696218662, 2.719018691, 2.68288654, 2.732938139, 2.7034464079999996, 2.7496320180000002, 2.683111392, 2.709535533, 2.7177067200000002, 2.75596373, 2.718437748, 2.7206428230000004, 2.6971705229999996, 2.6295817479999997, 2.69340756, 2.720822052, 2.6908987, 2.653078602, 2.754465396, 2.715030093, 2.742804861, 2.6929332290000003, 2.7083447099999995, 2.667859381, 2.8012172700000004, 2.720043847, 2.772302541, 2.735743833, ]
8-63-4-2	8	[2.611705979, 2.6302990410000002, 2.611255165, 2.613021485, 2.622946396, 2.594337696, 2.645615366, 2.628129156, 2.515305565, 2.570034508, 2.625397051, 2.6118341060000003, 2.611844768, 2.645448104, 2.6066931479999997, 2.62673168, 2.6158929449999997, 2.572903857, 2.5698831899999997, 2.554027443, 2.642530801, 2.604307791, 2.543530581, 2.611724436, 2.550430703, 2.546189476, 2.5548444189999997, 2.5736414119999997, 2.679640764, 2.650915274, 2.593912505, 2.6156209500000003, 2.6543922529999997, 2.608244927, 2.621267958, 2.586538885, 2.644916533, 2.559266037, 2.6345420830000004, 2.5908587450000002, ]
14-19-9-3	7	[2.6208206670000003, 2.6238867050000003, 2.5683256979999998, 2.628820188, 2.609217076, 2.602044967, 2.676361029, 2.588987705, 2.5834882539999997, 2.621333459, 2.647555027, 2.6355029169999997, 2.588514767, 2.5453868249999996, 2.6110731179999997, 2.652922143, 2.579614109, 2.622056428, 2.61895658, 2.6058248070000003, 2.58869905, 2.550771095, 2.6092027, 2.631174185, 2.624621158, 2.653627953, 2.573937462, 2.62036535, 2.643863008, 2.651383664, 2.6154058470000003, 2.588432419, 2.556186647, 2.6098211229999997, 2.603915291, 2.621176865, 2.635305225, 2.645479525, 2.6260415530000003, 2.614807338, ]
9-31-13-3	5	[2.5638686639999997, 2.583523298, 2.5799527159999998, 2.592549977, 2.628169556, 2.616224796, 2.593681468, 2.613415161, 2.5850187549999997, 2.617826873, 2.6216675, 2.587486282, 2.61577519, 2.58280333, 2.585595597, 2.643971382, 2.634624817, 2.5726377499999997, 2.62883993, 2.613140682, 2.5872977390000003, 2.5772531020000002, 2.658945557, 2.5556958649999997, 2.5704685670000003, 2.5493897029999997, 2.603252832, 2.611727384, 2.5312329379999996, 2.619510301, 2.5684246699999997, 2.605292764, 2.605771744, 2.598174909, 2.597790658, 2.583142683, 2.603572394, 2.5307208269999997, 2.529016534, 2.5948014849999996, ]
7-62-9-1	6	[2.568148978, 2.566591414, 2.5039827409999997, 2.5445145890000003, 2.561067012, 2.611910865, 2.596863094, 2.57845683, 2.519162051, 2.55168457, 2.608766924, 2.546231467, 2.5611132899999998, 2.558773457, 2.545381462, 2.51791109, 2.594000354, 2.5252700459999997, 2.5707262220000002, 2.58243491, 2.575573865, 2.601114486, 2.569456368, 2.5459690439999996, 2.559791699, 2.5774518840000002, 2.512351877, 2.58331479, 2.574278895, 2.525421804, 2.538677883, 2.5697593239999996, 2.566586934, 2.582073342, 2.568061102, 2.60541085, 2.6059281210000003, 2.522025169, 2.580230997, 2.577946292, ]
5-3-10-1	10	[2.501349159, 2.516594385, 2.518351688, 2.5233501240000002, 2.4979884560000003, 2.484172495, 2.454455614, 2.491614673, 2.5011121139999997, 2.516780179, 2.525441775, 2.5187253370000002, 2.50019614, 2.500862435, 2.513591512, 2.482665685, 2.565331648, 2.521971036, 2.464749924, 2.5220296729999996, 2.54401663, 2.495046558, 2.53416532, 2.503617809, 2.511557486, 2.546167766, 2.5194667099999997, 2.523699889, 2.516520337, 2.5200757649999996, 2.477291406, 2.507773366, 2.549442621, 2.56049652, 2.564410522, 2.525961679, 2.563740712, 2.5121260679999997, 2.508043149, 2.51208291, ]
11-59-26-3	4	[2.506641645, 2.4712233599999998, 2.4941487970000003, 2.4511580239999997, 2.5039378699999997, 2.534464764, 2.5208820089999997, 2.486410723, 2.4663154059999997, 2.4728702900000004, 2.491209853, 2.473798595, 2.4727706019999998, 2.469018827, 2.475718046, 2.444393448, 2.529362346, 2.496547812, 2.48559597, 2.494447884, 2.443156446, 2.46138398, 2.5296359089999996, 2.495021741, 2.5015456030000003, 2.495870596, 2.448163607, 2.501576246, 2.506871619, 2.487036867, 2.481905825, 2.532303023, 2.5079072360000003, 2.4314611399999997, 2.467363713, 2.455841838, 2.520358667, 2.489534608, 2.494430876, 2.4216258450000003, ]
5-25-19-3	7	[2.6800911469999997, 2.7373794680000003, 2.6785120680000003, 2.679333044, 2.64512974, 2.695989239, 2.750137471, 2.6262142649999998, 2.6867962679999997, 2.6129339139999996, 2.6654935749999997, 2.631065296, 2.6458614039999997, 2.720714998, 2.6566460860000003, 2.599538065, 2.6215899929999997, 2.6403134589999997, 2.681267579, 2.691610269, 2.6598538830000003, 2.711634428, 2.620296147, 2.6713610020000003, 2.693624432, 2.707467759, 2.599629202, 2.647473194, 2.674848751, 2.689604765, 2.667069421, 2.628368183, 2.642106864, 2.6557613079999998, 2.603412383, 2.7008024710000003, 2.6840818189999998, 2.6218854809999996, 2.730458755, 2.674642951, ]
7-42-16-0	10	[2.673224606, 2.7759415780000003, 2.665220349, 2.738331051, 2.7575007229999997, 2.6658124560000003, 2.750281282, 2.72294155, 2.677848628, 2.730864277, 2.7453224169999997, 2.7407365159999997, 2.716533053, 2.720269974, 2.7520963830000005, 2.733618147, 2.7201003150000003, 2.722853009, 2.639111481, 2.768847407, 2.6787675380000002, 2.648312282, 2.769459892, 2.668198817, 2.707046309, 2.7510155550000004, 2.7278252739999997, 2.735752352, 2.684565144, 2.7139069329999996, 2.7119186539999998, 2.698525259, 2.729929146, 2.720299778, 2.7592269270000003, 2.773920028, 2.667446643, 2.736051477, 2.7647440139999997, 2.732659634, ]
5-44-28-0	9	[2.80752539, 2.8238492600000002, 2.756231736, 2.7798117430000002, 2.771133382, 2.778162217, 2.786549617, 2.804988599, 2.7888724970000003, 2.712775998, 2.790527253, 2.7787320409999996, 2.855495395, 2.830484551, 2.757900964, 2.7980509319999998, 2.796167679, 2.757462466, 2.727689304, 2.77805544, 2.791714287, 2.767484701, 2.708721971, 2.8213583790000003, 2.7859306100000003, 2.806602908, 2.785538946, 2.769547363, 2.7684994979999997, 2.767764661, 2.781260293, 2.782252268, 2.773218192, 2.792405811, 2.793598285, 2.7639301, 2.77527685, 2.7766723410000003, 2.785757428, 2.761421194, ]
7-28-21-0	8	[2.7810352939999996, 2.796542147, 2.773138811, 2.753007311, 2.801064981, 2.80686923, 2.808962904, 2.7732710980000004, 2.799669265, 2.783237945, 2.734884335, 2.7702440929999996, 2.720656972, 2.736812719, 2.7676075740000003, 2.770256037, 2.7347067979999995, 2.781217747, 2.7808651259999997, 2.7725507470000004, 2.740905037, 2.7867902260000004, 2.7679449810000003, 2.7013491640000002, 2.7507268490000003, 2.794563589, 2.8488356130000003, 2.708078637, 2.741996181, 2.7568652410000003, 2.757483797, 2.789859101, 2.72018411, 2.796718127, 2.79498266, 2.777305643, 2.759108806, 2.756798689, 2.753335066, 2.774628576, ]
5-9-28-2	9	[2.803588436, 2.817530737, 2.823349715, 2.805656761, 2.832202315, 2.783849158, 2.805112447, 2.806688909, 2.796596897, 2.762475042, 2.776656275, 2.7174796629999998, 2.723852837, 2.784713706, 2.750401942, 2.782570082, 2.7410544800000003, 2.777283715, 2.788541219, 2.783121271, 2.78247353, 2.7560031169999997, 2.8013197450000002, 2.779882971, 2.7270496480000004, 2.792551772, 2.8314836039999998, 2.73990736, 2.771359557, 2.79351197, 2.782426616, 2.8473679620000003, 2.714894931, 2.754482622, 2.766587814, 2.723374693, 2.780658636, 2.739103468, 2.7692156289999996, 2.823776314, ]
6-57-29-3	5	[2.854520851, 2.830624238, 2.800976245, 2.809897229, 2.855258813, 2.849994166, 2.8200806170000003, 2.810833969, 2.801249796, 2.830663337, 2.7660044129999997, 2.783442385, 2.8114269839999997, 2.836482779, 2.755937007, 2.817139841, 2.853273649, 2.803021073, 2.8560204469999997, 2.779704968, 2.84776614, 2.805282338, 2.830293711, 2.736646474, 2.830085623, 2.7292978889999997, 2.828838427, 2.7878822260000002, 2.8347843299999997, 2.803658827, 2.832301016, 2.8126664789999998, 2.80210605, 2.752606548, 2.807978026, 2.779881955, 2.8067356520000004, 2.796801802, 2.809646708, 2.7812955870000002, ]
2-8-11-0	12	[2.625144325, 2.6920899379999996, 2.667969173, 2.657392311, 2.62232118, 2.609098719, 2.624481274, 2.6472308399999998, 2.669680818, 2.61096693, 2.565105664, 2.652910002, 2.715676948, 2.7182702899999995, 2.6181761549999996, 2.6532786479999997, 2.6009309289999996, 2.66587741, 2.6483356449999995, 2.6211287430000003, 2.6101562, 2.633902553, 2.648780297, 2.6823086309999997, 2.636549337, 2.6362391809999997, 2.5949426730000003, 2.6332795940000002, 2.586269212, 2.662676669, 2.6657090169999997, 2.658301367, 2.657029149, 2.572261666, 2.64811226, 2.5938299920000003, 2.6757033019999996, 2.5912074049999996, 2.62206194, 2.575811721, ]
8-26-6-0	11	[2.442265023, 2.471504208, 2.4266529099999996, 2.494882782, 2.495506346, 2.471873149, 2.5302524429999997, 2.47621073, 2.425413647, 2.43436644, 2.568660605, 2.4494571990000003, 2.4295416559999996, 2.4722048539999997, 2.507651266, 2.501577702, 2.4143716619999998, 2.493208047, 2.435166123, 2.500247842, 2.451127776, 2.521266527, 2.450768456, 2.447492976, 2.525006652, 2.5422125510000004, 2.5090352200000003, 2.477916309, 2.4460306899999997, 2.464525078, 2.448418083, 2.4643496669999996, 2.4392223939999997, 2.501120115, 2.4802246319999997, 2.456163914, 2.461538574, 2.5060383570000004, 2.47502405, 2.508021036, ]
