250-3-0	8	[3.64505383, 3.646054212, 3.539435483, 3.578626734, 3.611629535, 3.547786308, 3.5573668279999997, 3.6036077339999997, 3.5259788129999996, 3.509450598, 3.59002931, 3.6021221009999995, 3.540229216, 3.56904448, 3.541298372, 3.5615232939999997, 3.5404069190000005, 3.6017728189999993, 3.5522013180000003, 3.555419916, 3.6635653350000004, 3.5927497629999996, 3.559924544, 3.582232395, 3.5674055960000004, 3.5764356139999998, 3.5377148600000003, 3.5272504099999997, 3.59208252, 3.626352227, 3.6035395, 3.5618247750000003, 3.5756441900000002, 3.5748040580000002, 3.532288978, 3.5561085720000003, 3.642226529, 3.6028876050000003, 3.5981708950000004, 3.596737299, ]
221-2-24	7	[3.5702494639999998, 3.5710866689999996, 3.6284236909999996, 3.556709183, 3.572178479, 3.5757510690000003, 3.5526274410000003, 3.533331308, 3.570284722, 3.6088428209999996, 3.586848866, 3.562526474, 3.6028047119999997, 3.5390512140000006, 3.580439829, 3.618338121, 3.5854952820000006, 3.643991358, 3.5649548699999998, 3.5558445460000003, 3.639328635, 3.6061447300000005, 3.520630121, 3.6390095129999995, 3.591249209, 3.634698895, 3.568490978, 3.5746133479999997, 3.5497165229999994, 3.548351085, 3.5485222249999997, 3.606614716, 3.5882360009999994, 3.5817583579999996, 3.530928309, 3.5756541800000003, 3.5564488439999993, 3.615307438, 3.602640919, 3.636549618, ]
150-1-18	9	[3.601199596, 3.5789103879999997, 3.5711762600000005, 3.5786389579999995, 3.612259546, 3.5720648589999997, 3.574629514, 3.564367274, 3.610904006, 3.58580024, 3.5603313210000005, 3.626293866, 3.773566422, 3.5714912510000003, 3.6399359820000003, 3.5845261170000002, 3.58892654, 3.6118413790000004, 3.570524259, 3.601054263, 3.541618963, 3.5652511880000004, 3.547771043, 3.587555386, 3.5687339419999997, 3.5623076129999998, 3.595768226, 3.512061735, 3.585295064, 3.5700410639999998, 3.617860675, 3.5631907799999993, 3.6347698489999996, 3.5585493040000005, 3.606478504, 3.5411085890000003, 3.5402694649999997, 3.571574913, 3.635439322, 3.605706297, ]
237-1-16	8	[3.564403091, 3.5824621659999996, 3.5747227919999998, 3.549009647, 3.516124208, 3.5326895589999996, 3.510048252, 3.589424005, 3.583120645, 3.628320305, 3.4994243380000003, 3.5350352070000004, 3.5172043009999996, 3.582991006, 3.5742617949999995, 3.593847449, 3.59460045, 3.562182484, 3.509734051, 3.5503321559999996, 3.5033844760000004, 3.555268852, 3.5744958700000002, 3.53999247, 3.5338574219999996, 3.545657944, 3.6577768960000006, 3.515474281, 3.504655101, 3.6041437309999997, 3.582571501, 3.5210383859999994, 3.5486935719999995, 3.5547495490000003, 3.525968773, 3.557029096, 3.542054375, 3.548722423, 3.583643106, 3.563271257, ]
124-0-13	8	[3.463155171, 3.479605198, 3.555297362, 3.5115655120000002, 3.485973198, 3.5724389779999997, 3.4551520239999998, 3.457222382, 3.46270543, 3.476439576, 3.5185916809999997, 3.494588607, 3.467494964, 3.5150380720000003, 3.437897731, 3.4777066640000003, 3.481052191, 3.445691278, 3.5140576119999998, 3.5058333740000003, 3.500766952, 3.5225787739999994, 3.515917818, 3.475047544, 3.5084471439999994, 3.490353812, 3.472304313, 3.466785608, 3.445412477, 3.512613164, 3.440717925, 3.495064492, 3.478820371, 3.460211787, 3.463306206, 3.4749858290000004, 3.482300917, 3.445304542, 3.492080473, 3.436800087, ]
227-2-29	6	[3.401514123, 3.367554264, 3.409138141, 3.35281469, 3.418778005, 3.325543543, 3.447023221, 3.454665698, 3.400596077, 3.3688340329999997, 3.41637417, 3.39152159, 3.3944011610000002, 3.505780089, 3.34302386, 3.345328015, 3.41261508, 3.5235892060000005, 3.368552015, 3.3749332059999997, 3.392751521, 3.3976754909999998, 3.413771922, 3.484175225, 3.395997733, 3.393405335, 3.367515486, 3.4116223860000003, 3.396054003, 3.393246037, 3.390719118, 3.415476063, 3.4065365350000003, 3.3894958330000002, 3.396645828, 3.425016919, 3.338894344, 3.4636566010000003, 3.469592494, 3.415637339, ]
225-5-0	10	[3.570939607, 3.5121313329999997, 3.557448778, 3.528872207, 3.6280229189999993, 3.594777372, 3.583808852, 3.55878636, 3.5564133569999994, 3.57199574, 3.5486743090000004, 3.5995154840000003, 3.6068980479999997, 3.610238407, 3.5452026410000004, 3.558860167, 3.561071572, 3.560735814, 3.647975544, 3.6012308340000003, 3.574644712, 3.592281402, 3.585363494, 3.553396674, 3.5200607329999998, 3.5852014829999996, 3.6003360069999997, 3.5736675599999996, 3.522677837, 3.567696185, 3.633004843, 3.5648077920000003, 3.555036781, 3.5951890859999995, 3.562258729, 3.54971631, 3.5999558959999995, 3.6007683849999994, 3.641453715, 3.5558203860000006, ]
229-0-25	8	[3.4498088030000003, 3.48195941, 3.440406224, 3.4845799, 3.411547448, 3.479136714, 3.5547947630000003, 3.4781287720000003, 3.482999088, 3.476406661, 3.488134087, 3.444101252, 3.404205953, 3.4561368370000003, 3.469294482, 3.446175662, 3.5712333110000003, 3.4541082519999997, 3.470529495, 3.469545452, 3.4548589620000003, 3.556931724, 3.4720084719999997, 3.4653038940000003, 3.49632913, 3.4414614450000003, 3.453766147, 3.4922867870000003, 3.4083583280000003, 3.5008583879999997, 3.465655356, 3.4380147869999997, 3.4302607650000003, 3.461972633, 3.468625143, 3.4418928699999998, 3.427318895, 3.429622138, 3.532763298, 3.4469421970000003, ]
230-1-17	8	[3.510730615, 3.5880448909999996, 3.628679266, 3.5689051189999996, 3.6357455340000002, 3.557165511, 3.524162008, 3.54508772, 3.5121985000000002, 3.5935758099999995, 3.5300614559999994, 3.6093367960000005, 3.5645263710000004, 3.614106994, 3.536936116, 3.548867294, 3.5496350110000003, 3.503734526, 3.5777313720000006, 3.525948374, 3.5600417360000005, 3.5903410219999996, 3.554720763, 3.5436295929999995, 3.5443277049999997, 3.580701542, 3.527404191, 3.515654838, 3.598346725, 3.5602191739999998, 3.546786533, 3.5727152799999997, 3.5643586270000003, 3.563592169, 3.613569806, 3.565986659, 3.54968791, 3.564339306, 3.5572092580000003, 3.5996192160000002, ]
236-4-7	7	[3.457872435, 3.385300595, 3.4339646750000004, 3.3858260490000003, 3.3917911000000003, 3.3490704559999998, 3.387281712, 3.453359643, 3.433068347, 3.395275428, 3.446182692, 3.400427126, 3.3832638509999997, 3.382115895, 3.332534574, 3.408303949, 3.354833822, 3.4073507380000003, 3.441760242, 3.39939256, 3.398158206, 3.3831512470000003, 3.3894174980000003, 3.420923429, 3.423761257, 3.349767513, 3.483168725, 3.4366111430000004, 3.389798039, 3.440572361, 3.3511628410000003, 3.3844756119999997, 3.41274953, 3.380172922, 3.395773148, 3.421086009, 3.381225681, 3.3971979290000003, 3.334587742, 3.424548541, ]
